sg_uf_paciente,ano_vacina,mes,total_doses,internacoes,obitos
AC,2026,1,43663,0,0
AC,2026,2,18627,0,0
AL,2026,1,31471,0,0
AL,2026,2,786,0,0
AM,2026,1,208888,0,0
AM,2026,2,54805,0,0
AP,2026,1,34144,0,0
AP,2026,2,15059,0,0
BA,2026,1,106107,0,0
BA,2026,2,2732,0,0
CE,2026,1,36792,0,0
CE,2026,2,874,0,0
DF,2026,1,41982,0,0
DF,2026,2,343,0,0
ES,2026,1,48999,0,0
ES,2026,2,290,0,0
GO,2026,1,42576,0,0
GO,2026,2,1669,0,0
MA,2026,1,25008,0,0
MA,2026,2,2007,0,0
MG,2026,1,87120,0,0
MG,2026,2,1651,0,0
MS,2026,1,21754,0,0
MS,2026,2,935,0,0
MT,2026,1,18303,0,0
MT,2026,2,2066,0,0
PA,2026,1,313625,0,0
PA,2026,2,143112,0,0
PB,2026,1,16576,0,0
PB,2026,2,679,0,0
PE,2026,1,71379,0,0
PE,2026,2,1397,0,0
PI,2026,1,20736,0,0
PI,2026,2,517,0,0
PR,2026,1,54636,0,0
PR,2026,2,1756,0,0
RJ,2026,1,83391,0,0
RJ,2026,2,2365,0,0
RN,2026,1,30320,0,0
RN,2026,2,519,0,0
RO,2026,1,76747,0,0
RO,2026,2,39705,0,0
RR,2026,1,18061,0,0
RR,2026,2,9115,0,0
RS,2026,1,24348,0,0
RS,2026,2,681,0,0
SC,2026,1,31129,0,0
SC,2026,2,1891,0,0
SE,2026,1,33587,0,0
SE,2026,2,278,0,0
SP,2026,1,339168,0,0
SP,2026,2,4755,0,0
TO,2026,1,69566,0,0
TO,2026,2,23849,0,0
